Id,Response
1,6
3,8
4,8
9,6
12,8
13,8
21,8
28,8
30,8
36,8
38,8
43,8
45,6
48,8
50,8
51,7
54,8
55,5
59,8
62,5
63,8
66,6
69,8
82,8
83,8
84,7
86,8
89,8
90,8
92,6
98,8
100,7
105,6
115,6
119,6
124,8
127,8
133,8
140,8
141,8
143,8
151,2
154,8
157,8
163,6
166,2
168,6
170,8
173,8
180,2
182,7
184,7
185,8
195,8
196,8
197,5
212,8
213,8
219,8
225,6
227,8
232,1
239,8
247,8
251,6
254,7
261,8
264,8
267,6
272,7
275,8
277,7
283,8
284,6
287,8
291,8
293,8
294,1
305,8
307,8
309,8
311,1
322,1
323,8
326,6
330,7
335,8
337,8
338,8
341,8
346,8
348,6
352,5
356,8
358,7
366,6
369,8
373,8
375,8
381,5
384,8
386,1
396,8
397,8
399,7
405,8
412,8
417,6
421,6
425,8
427,8
430,8
432,6
433,8
436,8
438,6
441,8
442,7
444,6
446,8
448,8
450,8
454,8
465,8
470,6
472,6
475,8
484,8
495,8
497,8
498,8
501,1
502,8
505,8
515,2
516,8
527,8
529,1
531,8
533,8
537,7
541,8
546,8
548,8
549,8
550,8
553,8
559,8
561,6
564,6
574,8
578,8
579,1
580,8
582,6
584,8
588,6
596,6
602,6
603,6
613,8
614,2
619,8
620,8
624,8
625,8
628,6
630,7
635,8
636,6
637,8
641,8
644,8
648,8
654,8
658,8
664,8
666,8
667,7
670,8
672,6
674,8
676,8
684,8
685,6
693,8
694,8
700,8
702,7
703,8
705,8
711,8
718,1
722,6
726,8
727,8
732,8
735,8
740,6
748,7
750,8
751,8
756,6
762,8
766,8
770,7
771,2
779,7
782,1
784,7
793,1
798,6
800,7
801,6
805,8
807,8
813,6
819,1
820,8
822,8
823,8
833,8
834,8
842,8
845,6
856,8
860,2
864,8
869,8
872,8
877,6
878,8
893,8
894,8
896,8
899,8
900,8
911,6
914,8
917,8
919,8
923,1
925,8
926,8
934,8
938,8
940,1
955,6
956,8
971,6
973,8
978,8
979,8
981,8
988,8
990,8
992,2
996,7
997,8
999,6
1000,7
1006,5
1009,8
1018,1
1025,2
1038,8
1042,8
1045,6
1046,8
1047,8
1050,6
1052,8
1054,8
1057,7
1061,6
1069,8
1071,6
1073,1
1074,8
1075,1
1083,8
1084,6
1089,6
1099,5
1103,6
1110,8
1123,8
1130,8
1135,8
1137,8
1145,8
1147,6
1152,8
1153,6
1154,8
1158,8
1166,8
1170,8
1172,6
1178,6
1179,6
1181,6
1182,8
1183,8
1191,8
1192,8
1200,6
1205,1
1207,6
1208,1
1209,5
1217,8
1223,8
1225,8
1226,6
1228,8
1230,1
1232,8
1235,8
1237,6
1257,8
1266,1
1267,7
1274,8
1277,8
1278,7
1280,8
1282,8
1293,8
1294,8
1305,8
1306,6
1311,6
1318,8
1320,1
1323,8
1325,6
1328,6
1336,6
1340,8
1341,8
1344,2
1345,8
1348,6
1358,6
1361,8
1364,6
1373,8
1377,7
1378,8
1380,7
1382,6
1383,8
1386,8
1387,6
1390,1
1395,8
1398,5
1402,8
1403,8
1405,8
1407,8
1410,6
1412,6
1419,6
1426,8
1428,8
1436,6
1437,8
1438,8
1441,8
1444,8
1448,2
1454,8
1457,8
1459,8
1463,6
1467,8
1471,6
1475,8
1476,2
1480,8
1481,6
1482,6
1489,8
1491,8
1494,8
1496,8
1500,8
1501,8
1503,1
1504,6
1505,8
1515,6
1517,8
1520,6
1521,8
1523,8
1526,8
1529,6
1530,8
1543,1
1544,8
1547,6
1550,8
1552,8
1554,7
1563,8
1574,8
1575,1
1576,8
1579,2
1582,2
1584,8
1585,8
1589,8
1596,6
1598,5
1611,7
1613,7
1615,7
1618,2
1627,8
1630,2
1638,6
1639,8
1640,8
1642,8
1645,8
1648,8
1654,2
1661,8
1662,8
1663,8
1666,1
1668,6
1670,6
1672,8
1681,8
1682,8
1683,8
1687,8
1688,8
1693,8
